OBJECTID,AREA_CAL,AREA_BMA,PERIMETER,ADMIN_ID,SUBDISTRIC,SUBDISTR_1,DISTRICT_I,DISTRICT_N,CHANGWAT_I,CHANGWAT_N,Shape_Leng,Shape_Area
"1",15.79900000000,16.46100000000,21537.21138800000,"2","100608",???????,"1006",???????,"10",???????????,21534.19903880000,15799312.99029999785
"2",11.77700000000,12.06200000000,18260.51733200000,"3","100601",????????,"1006",???????,"10",???????????,18389.63529820000,11776535.84710000083
"3",15.83000000000,14.15000000000,17831.19220370000,"2","104003",??????,"1040",?????,"10",???????????,17823.01074870000,15830475.39320000075
"4",18.04600000000,18.40600000000,19142.46610300000,"2","100502",??????????,"1005",??????,"10",???????????,19100.68243770000,18046153.46510000154
"5",22.74600000000,23.71700000000,24066.16411780000,"3","100508",???????,"1005",??????,"10",???????????,24034.90867890000,22750521.55660000071
"6",1.68200000000,2.30000000000,5310.04666264000,"3","103102",???????????,"1031",?????????,"10",???????????,5302.90416181000,1681519.74056000006
"7",4.82900000000,5.87200000000,9600.30800774000,"4","103103",???????,"1031",?????????,"10",???????????,9586.15310013000,4829166.26749000046
"8",0.48400000000,0.68900000000,3475.76535840000,"2","100404",??????,"1004",??????,"10",???????????,3462.18786772000,484230.27608799998
"9",1.50500000000,2.07400000000,7031.36193419000,"3","100402",????,"1004",??????,"10",???????????,7033.40888838000,1504780.51591000007
"10",0.64200000000,0.88900000000,3972.41262906000,"4","100401",??????????,"1004",??????,"10",???????????,3970.08294431000,641566.75708000001
"11",0.77100000000,1.06400000000,4574.09561884000,"5","100405",????????,"1004",??????,"10",???????????,4574.50380393000,770967.93531400000
"12",0.60500000000,0.82000000000,5024.57105125000,"6","100403",?????????,"1004",??????,"10",???????????,5025.41806890000,604743.43437899998
"13",2.31800000000,2.07600000000,6827.42481260000,"4","102005",???????????,"1020",??????????,"10",???????????,6809.70970524000,2318109.45735999988
"14",1.37000000000,1.25800000000,6717.12540904000,"5","102004",???????,"1020",??????????,"10",???????????,6702.76932646000,1369884.16116999998
"15",0.86100000000,0.83400000000,3986.44609900000,"2","101601",???????,"1016",??????????,"10",???????????,3978.03204880000,860826.57252499997
"16",5.42900000000,0.83400000000,9389.22080575000,"3","101602",?????????,"1016",??????????,"10",???????????,9370.67125404000,5428777.19864000008
"17",3.32300000000,3.29600000000,10523.00459290000,"2","102501",???????,"1025",???????,"10",???????????,10521.16926860000,3322705.83075999981
"18",2.37000000000,2.33200000000,6929.38645251000,"3","102503",????????,"1025",???????,"10",???????????,6923.50445979000,2370182.85208000010
"19",3.00400000000,2.88600000000,6914.36125184000,"4","102504",?????????,"1025",???????,"10",???????????,6878.65135729000,3003970.68497999990
"20",8.44700000000,8.35400000000,14390.72184310000,"1","102601",??????,"1026",??????,"10",???????????,10328.05711670000,4498243.83016000036
"21",1.12000000000,1.07400000000,4681.21361456000,"2","100202",??????????,"1002",?????,"10",???????????,4667.23986800000,1120299.29512999998
"22",2.36900000000,2.23300000000,6503.94860220000,"3","100201",?????,"1002",?????,"10",???????????,6486.06590745000,2369159.51838999987
"23",5.61400000000,5.28200000000,10209.05272490000,"4","100206",???????????,"1002",?????,"10",???????????,10190.40374640000,5613897.14986999985
"24",6.11900000000,5.40800000000,11937.66003300000,"2","101702",???????,"1017",????????,"10",???????????,11927.08598930000,6118908.23615999985
"25",4.80600000000,5.34200000000,11797.64096330000,"3","101701",????????,"1017",????????,"10",???????????,11766.85064600000,4806483.15173000004
"26",5.35700000000,4.28300000000,12834.10073690000,"4","101704",?????????,"1017",????????,"10",???????????,12797.13012400000,5356887.00939000025
