OBJECTID,AREA_CAL,AREA_BMA,PERIMETER,ADMIN_ID,SUBDISTRIC,SUBDISTR_1,DISTRICT_I,DISTRICT_N,CHANGWAT_I,CHANGWAT_N,Shape_Leng,Shape_Area
1,15.799,16.461,21537.21139,2,100608,หัวหมาก,1006,บางกะปิ,10,กรุงเทพมหาน,21534.19904,15799312.99
2,11.777,12.062,18260.51733,3,100601,คลองจั่น,1006,บางกะปิ,10,กรุงเทพมหาน,18389.6353,11776535.85
3,15.83,14.15,17831.1922,2,104003,บางไผ่,1040,บางแค,10,กรุงเทพมหาน,17823.01075,15830475.39
4,18.046,18.406,19142.4661,2,100502,อนุสาวรีย์,1005,บางเขน,10,กรุงเทพมหาน,19100.68244,18046153.47
5,22.746,23.717,24066.16412,3,100508,ท่าแร้ง,1005,บางเขน,10,กรุงเทพมหาน,24034.90868,22750521.56
6,1.682,2.3,5310.046663,3,103102,วัดพระยาไกร,1031,บางคอแหลม,10,กรุงเทพมหาน,5302.904162,1681519.741
7,4.829,5.872,9600.308008,4,103103,บางโคล่,1031,บางคอแหลม,10,กรุงเทพมหาน,9586.1531,4829166.267
8,0.484,0.689,3475.765358,2,100404,บางรัก,1004,บางรัก,10,กรุงเทพมหาน,3462.187868,484230.2761
9,1.505,2.074,7031.361934,3,100402,สีลม,1004,บางรัก,10,กรุงเทพมหาน,7033.408888,1504780.516
10,0.642,0.889,3972.412629,4,100401,มหาพฤฒาราม,1004,บางรัก,10,กรุงเทพมหาน,3970.082944,641566.7571
11,0.771,1.064,4574.095619,5,100405,สี่พระยา,1004,บางรัก,10,กรุงเทพมหาน,4574.503804,770967.9353
12,0.605,0.82,5024.571051,6,100403,สุริยวงศ์,1004,บางรัก,10,กรุงเทพมหาน,5025.418069,604743.4344
13,2.318,2.076,6827.424813,4,102005,บ้านช่างหล่,1020,บางกอกน้อย,10,กรุงเทพมหาน,6809.709705,2318109.457
14,1.37,1.258,6717.125409,5,102004,ศิริราช,1020,บางกอกน้อย,10,กรุงเทพมหาน,6702.769326,1369884.161
15,0.861,0.834,3986.446099,2,101601,วัดอรุณ,1016,บางกอกใหญ่,10,กรุงเทพมหาน,3978.032049,860826.5725
16,5.429,0.834,9389.220806,3,101602,วัดท่าพระ,1016,บางกอกใหญ่,10,กรุงเทพมหาน,9370.671254,5428777.199
17,3.323,3.296,10523.00459,2,102501,บางพลัด,1025,บางพลัด,10,กรุงเทพมหาน,10521.16927,3322705.831
18,2.37,2.332,6929.386453,3,102503,บางบำหรุ,1025,บางพลัด,10,กรุงเทพมหาน,6923.50446,2370182.852
19,3.004,2.886,6914.361252,4,102504,บางยี่ขัน,1025,บางพลัด,10,กรุงเทพมหาน,6878.651357,3003970.685
20,8.447,8.354,14390.72184,1,102601,ดินแดง,1026,ดินแดง,10,กรุงเทพมหาน,10328.05712,4498243.83
21,1.12,1.074,4681.213615,2,100202,วชิรพยาบาล,1002,ดุสิต,10,กรุงเทพมหาน,4667.239868,1120299.295
22,2.369,2.233,6503.948602,3,100201,ดุสิต,1002,ดุสิต,10,กรุงเทพมหาน,6486.065907,2369159.518
23,5.614,5.282,10209.05272,4,100206,ถนนนครไชยศร,1002,ดุสิต,10,กรุงเทพมหาน,10190.40375,5613897.15
24,6.119,5.408,11937.66003,2,101702,บางกะปิ,1017,ห้วยขวาง,10,กรุงเทพมหาน,11927.08599,6118908.236
25,4.806,5.342,11797.64096,3,101701,ห้วยขวาง,1017,ห้วยขวาง,10,กรุงเทพมหาน,11766.85065,4806483.152
26,5.357,4.283,12834.10074,4,101704,สามเสนนอก,1017,ห้วยขวาง,10,กรุงเทพมหาน,12797.13012,5356887.009
28,17.348,15.823,19863.5633,4,104605,ทรายกองดินใ,1046,คลองสามวา,10,กรุงเทพมหาน,19830.49156,17354165.09
30,1.713,1.773,6059.311532,2,101804,คลองต้นไทร,1018,คลองสาน,10,กรุงเทพมหาน,6054.105866,1712916.671
31,1.037,0.727,5663.952343,3,101802,คลองสาน,1018,คลองสาน,10,กรุงเทพมหาน,5658.078487,1037408.643
32,2.288,2.234,6024.643638,4,101803,บางลำภูล่าง,1018,คลองสาน,10,กรุงเทพมหาน,6014.513351,2288411.879
33,0.929,1.317,4128.805126,5,101801,สมเด็จเจ้าพ,1018,คลองสาน,10,กรุงเทพมหาน,4118.45501,929077.9923
34,7.542,7.249,15592.6508,2,103301,คลองเตย,1033,คลองเตย,10,กรุงเทพมหาน,15560.72368,7541605.414
35,1.94,1.895,6220.873028,3,103302,คลองตัน,1033,คลองเตย,10,กรุงเทพมหาน,6204.727393,1939961.425
36,3.914,3.85,10388.62975,4,103303,พระโขนง,1033,คลองเตย,10,กรุงเทพมหาน,10373.21526,3914283.267
37,5.915,5.955,12446.21408,3,104102,ตลาดบางเขน,1041,หลักสี่,10,กรุงเทพมหาน,12418.50639,5915402.499
38,16.15,14.297,17419.74223,2,101102,คลองสองต้นน,1011,ลาดกระบัง,10,กรุงเทพมหาน,17400.37367,16150398.39
39,17.716,17.458,18698.58348,3,101103,คลองสามประเ,1011,ลาดกระบัง,10,กรุงเทพมหาน,18645.84903,17715720.83
40,33.006,33.752,29969.97773,5,101104,ลำปลาทิว,1011,ลาดกระบัง,10,กรุงเทพมหาน,30424.81726,32623809.08
41,6.362,7.055,12393.0135,2,103802,จรเข้บัว,1038,ลาดพร้าว,10,กรุงเทพมหาน,12381.36868,6362062.97
42,24.929,28.459,27115.42785,2,101001,มีนบุรี,1010,มีนบุรี,10,กรุงเทพมหาน,26167.76452,24167919.01
43,35.408,35.186,29803.67284,3,101002,แสนแสบ,1010,มีนบุรี,10,กรุงเทพมหาน,29435.73526,35790594.59
44,30.962,29.992,27068.92621,2,100302,หนองจอก,1003,หนองจอก,10,กรุงเทพมหาน,27408.91862,31269801.63
45,18.02,17.75,18696.54333,4,100306,คู้ฝั่งเหนื,1003,หนองจอก,10,กรุงเทพมหาน,18636.5934,18009434.31
46,33.16,33.358,28352.27334,6,100307,ลำผักชี,1003,หนองจอก,10,กรุงเทพมหาน,28318.84276,33160234.83
47,25.031,24.789,30593.6073,7,100308,ลำต้อยติ่ง,1003,หนองจอก,10,กรุงเทพมหาน,30543.39153,25031034.46
48,40.436,38.132,28785.52296,8,100301,กระทุ่มราย,1003,หนองจอก,10,กรุงเทพมหาน,28753.59728,40436136.77
49,1.231,1.3,4845.676898,2,100701,รองเมือง,1007,ปทุมวัน,10,กรุงเทพมหาน,4829.733222,1231062.044
50,1.337,1.403,5033.997121,3,100702,วังใหม่,1007,ปทุมวัน,10,กรุงเทพมหาน,5018.043903,1337010.664
51,2.108,2.181,6117.880758,4,100703,ปทุมวัน,1007,ปทุมวัน,10,กรุงเทพมหาน,6099.401952,2108131.076
52,3.37,3.485,8062.634763,5,100704,ลุมพินี,1007,ปทุมวัน,10,กรุงเทพมหาน,8039.043818,3369887.414
53,9.257,9.595,12016.96479,1,101406,พญาไท,1014,พญาไท,10,กรุงเทพมหาน,9376.730429,4683432.541
54,2.679,2.992,7633.905384,2,102208,คลองขวาง,1022,ภาษีเจริญ,10,กรุงเทพมหาน,7619.606805,2679188.349
55,3.845,2.514,8119.112853,3,102202,บางด้วน,1022,ภาษีเจริญ,10,กรุงเทพมหาน,8106.81042,3844547.101
56,2.797,3.022,8380.337297,5,102207,บางแวก,1022,ภาษีเจริญ,10,กรุงเทพมหาน,8372.031495,2797046.087
57,1.631,1.394,5300.539645,6,102206,บางจาก,1022,ภาษีเจริญ,10,กรุงเทพมหาน,5288.54132,1631466.823
58,1.803,1.898,6666.609355,8,102209,ปากคลองภาษี,1022,ภาษีเจริญ,10,กรุงเทพมหาน,6651.374207,1802683.406
59,13.176,13.986,16990.61125,1,100905,บางจาก,1009,พระโขนง,10,กรุงเทพมหาน,13109.41817,8409813.5
60,0.401,0.251,3035.136978,2,100804,บ้านบาตร,1008,ป้อมปราบศัต,10,กรุงเทพมหาน,3024.884902,400745.6679
61,0.618,0.535,3601.487169,3,100801,ป้อมปราบศัต,1008,ป้อมปราบศัต,10,กรุงเทพมหาน,3595.238279,617913.4024
62,0.455,0.35,3091.891667,4,100805,วัดโสมนัส,1008,ป้อมปราบศัต,10,กรุงเทพมหาน,3087.525818,454946.6487
63,0.441,0.347,2846.741209,5,100802,วัดเทพศิริน,1008,ป้อมปราบศัต,10,กรุงเทพมหาน,2844.231533,441486.0002
64,0.583,0.448,3057.486479,6,100803,คลองมหานาค,1008,ป้อมปราบศัต,10,กรุงเทพมหาน,3052.247567,582726.3776
65,12.898,14.513,15235.52747,2,103202,หนองบอน,1032,ประเวศ,10,กรุงเทพมหาน,15205.86966,12897910.99
66,24.622,22.805,22844.77052,3,103201,ประเวศ,1032,ประเวศ,10,กรุงเทพมหาน,22812.88553,24622024.48
67,16.367,15.172,17770.30526,4,103203,ดอกไม้,1032,ประเวศ,10,กรุงเทพมหาน,17732.30072,16366767.24
68,5.311,6.716,11274.626,3,102401,ราษฎร์บูรณะ,1024,ราษฎร์บูรณะ,10,กรุงเทพมหาน,11246.54797,5311304.06
69,0.974,1.148,5401.421199,2,103703,ถนนเพชรบุรี,1037,ราชเทวี,10,กรุงเทพมหาน,5401.630661,973933.0949
70,2.499,2.559,6461.769357,3,103701,ทุ่งพญาไท,1037,ราชเทวี,10,กรุงเทพมหาน,6446.062552,2498830.605
71,1.229,1.136,4800.960836,4,103702,ถนนพญาไท,1037,ราชเทวี,10,กรุงเทพมหาน,4787.868068,1229086.961
72,2.475,2.283,7535.340908,5,103704,มักกะสัน,1037,ราชเทวี,10,กรุงเทพมหาน,7526.529958,2474640.82
73,1.795,2.09,6928.150332,2,102802,ยานนาวา,1028,สาทร,10,กรุงเทพมหาน,6923.051471,1795310.773
74,2.46,3.195,7320.289336,3,102801,ทุ่งวัดดอน,1028,สาทร,10,กรุงเทพมหาน,7310.320094,2460237.476
75,2.97,4.041,8436.364858,4,102803,ทุ่งมหาเมฆ,1028,สาทร,10,กรุงเทพมหาน,8420.073311,2969713.445
76,12.13,12.44,15981.98121,2,104203,คลองถนน,1042,สายไหม,10,กรุงเทพมหาน,15955.0346,12130309.76
77,15.12,13.516,17683.35711,4,104202,ออเงิน,1042,สายไหม,10,กรุงเทพมหาน,17663.51334,15132995.73
78,0.405,0.449,3272.5965,2,101303,ตลาดน้อย,1013,สัมพันธวงศ์,10,กรุงเทพมหาน,3262.351423,405417.2043
79,27.98,28.124,25314.76641,1,104402,ราษฎร์พัฒนา,1044,สะพานสูง,10,กรุงเทพมหาน,12110.18911,8957614.571
81,4.175,2.915,13263.22762,2,101907,บางเชือกหนั,1019,ตลิ่งชัน,10,กรุงเทพมหาน,13243.17646,4173173.747
82,5.122,4.253,14267.01062,3,101904,บางพรม,1019,ตลิ่งชัน,10,กรุงเทพมหาน,14261.02281,5122167.067
83,9.814,8.539,14578.13411,4,101905,บางระมาด,1019,ตลิ่งชัน,10,กรุงเทพมหาน,14520.98938,9820091.513
84,9.142,7.338,13663.93749,5,101903,ฉิมพลี,1019,ตลิ่งชัน,10,กรุงเทพมหาน,13605.00519,9135571.115
85,6.164,5.183,11886.69926,6,101902,ตลิ่งชัน,1019,ตลิ่งชัน,10,กรุงเทพมหาน,11879.15134,6164365.185
86,1.168,1.823,4880.712509,2,101505,ตลาดพลู,1015,ธนบุรี,10,กรุงเทพมหาน,4673.146368,1167993.893
87,0.731,0.785,3527.317006,4,101501,วัดกัลยาณ์,1015,ธนบุรี,10,กรุงเทพมหาน,3518.931734,730837.4967
88,0.655,0.691,3317.007242,5,101502,หิรัญรูจี,1015,ธนบุรี,10,กรุงเทพมหาน,3310.183419,654881.3067
89,2.166,7.249,6670.773721,2,103901,คลองเตยเหนื,1039,วัฒนา,10,กรุงเทพมหาน,6661.456383,2166010.912
90,7.261,1.895,13632.10391,3,103902,คลองตันเหนื,1039,วัฒนา,10,กรุงเทพมหาน,13611.8866,7261064.047
91,3.524,3.85,9411.991731,4,103903,พระโขนงเหนื,1039,วัฒนา,10,กรุงเทพมหาน,9395.334735,3524290.798
92,1.547,1.647,5271.159492,2,100101,พระบรมมหารา,1001,พระนคร,10,กรุงเทพมหาน,5250.963301,1546634.172
93,0.339,0.339,2445.046054,3,100109,ชนะสงคราม,1001,พระนคร,10,กรุงเทพมหาน,2439.916946,339410.8536
94,0.71,0.72,3626.145168,4,100102,วังบูรพาภิร,1001,พระนคร,10,กรุงเทพมหาน,3619.431652,709927.7599
95,0.186,0.193,1978.106325,5,100108,ตลาดยอด,1001,พระนคร,10,กรุงเทพมหาน,1973.971891,186139.8577
96,0.499,0.522,3024.4934,6,100112,วัดสามพระยา,1001,พระนคร,10,กรุงเทพมหาน,3017.641082,499172.9642
97,0.491,0.496,3407.390079,7,100107,วัดบวรนิเวศ,1001,พระนคร,10,กรุงเทพมหาน,3403.025915,491387.3955
98,0.15,0.144,1677.94087,8,100105,ศาลเจ้าพ่อเ,1001,พระนคร,10,กรุงเทพมหาน,1673.209593,149861.1396
99,0.212,0.22,1885.142228,9,100103,วัดราชบพิธ,1001,พระนคร,10,กรุงเทพมหาน,1888.409776,211665.4188
100,0.152,0.153,1588.187987,10,100106,เสาชิงช้า,1001,พระนคร,10,กรุงเทพมหาน,1586.810482,153993.9834
101,0.411,0.414,3192.587519,11,100110,บ้านพานถม,1001,พระนคร,10,กรุงเทพมหาน,3184.638598,410815.976
102,0.448,0.458,2880.240385,12,100111,บางขุนพรหม,1001,พระนคร,10,กรุงเทพมหาน,2873.008337,448130.6514
103,0.232,0.23,2083.546853,13,100104,สำราญราษฎร์,1001,พระนคร,10,กรุงเทพมหาน,2076.530674,229923.5261
104,6.392,5.789,10574.44455,2,103501,บางขุนเทียน,1035,จอมทอง,10,กรุงเทพมหาน,10603.83085,6391663.547
105,3.152,3.375,9727.970618,4,103502,บางค้อ,1035,จอมทอง,10,กรุงเทพมหาน,9713.34751,3151676.107
106,5.029,6.678,10274.37174,2,101204,บางโพงพาง,1012,ยานนาวา,10,กรุงเทพมหาน,10258.1619,5029324.12
107,7.43,9.984,13565.4821,3,101203,ช่องนนทรี,1012,ยานนาวา,10,กรุงเทพมหาน,13525.40785,7429516.178
108,10.572,12.765,17343.1939,2,104901,บางมด,1049,ทุ่งครุ,10,กรุงเทพมหาน,17292.44015,10572373.39
109,21.544,17.976,22920.12954,3,104902,ทุ่งครุ,1049,ทุ่งครุ,10,กรุงเทพมหาน,22870.76512,21543747.37
110,22.246,22.524,21553.04609,5,100305,โคกแฝด,1003,หนองจอก,10,กรุงเทพมหาน,22969.13666,22245471.46
111,37.986,38.867,27011.17092,9,100304,คลองสิบสอง,1003,หนองจอก,10,กรุงเทพมหาน,26223.53907,38210738.8
112,27.719,25.834,28971.89459,6,101105,ทับยาว,1011,ลาดกระบัง,10,กรุงเทพมหาน,28838.69223,27826055.83
113,22.925,21.695,24493.74904,7,101106,ขุมทอง,1011,ลาดกระบัง,10,กรุงเทพมหาน,24216.74117,23041375.74
114,0.359,1.737,6883.461073,5,100204,สี่แยกมหานา,1002,ดุสิต,10,กรุงเทพมหาน,2795.736354,359032.3644
115,1.882,1.737,6883.461073,5,100203,สวนจิตรลดา,1002,ดุสิต,10,กรุงเทพมหาน,6254.428375,1881824.065
116,14.975,34.367,40154.32402,2,103801,ลาดพร้าว,1038,ลาดพร้าว,10,กรุงเทพมหาน,20838.94099,14975275.21
117,10.629,10.69,24015.01,1,103001,ลาดยาว,1030,จตุจักร,10,กรุงเทพมหาน,14338.58852,10628916.63
118,2.087,2.749,5803.965724,2,103101,บางคอแหลม,1031,บางคอแหลม,10,กรุงเทพมหาน,5791.753979,2086504.273
119,0.505,0.483,4229.55,3,101302,สัมพันธวงศ์,1013,สัมพันธวงศ์,10,กรุงเทพมหาน,4221.749019,505289.7949
120,0.51,0.484,2882.33,4,101301,จักรวรรดิ์,1013,สัมพันธวงศ์,10,กรุงเทพมหาน,2877.923641,509514.3463
121,7.752,7.878,24015.01,1,103005,จตุจักร,1030,จตุจักร,10,กรุงเทพมหาน,13074.83005,7751804.283
122,5.551,5.488,24015.01,1,103004,จอมพล,1030,จตุจักร,10,กรุงเทพมหาน,10322.9243,5551153.802
123,5.799,6.026,24015.01,1,103003,จันทรเกษม,1030,จตุจักร,10,กรุงเทพมหาน,10900.44534,5798773.899
124,2.813,2.826,0,0,103002,เสนานิคม,1030,จตุจักร,10,กรุงเทพมหาน,8071.387107,2813265.364
125,5.361,5.105,13663.67203,4,102201,บางหว้า,1022,ภาษีเจริญ,10,กรุงเทพมหาน,13688.9618,5361490.907
126,3.054,2.758,8685.793076,3,102009,อรุณอมรินทร,1020,บางกอกน้อย,10,กรุงเทพมหาน,8646.082658,3054341.199
127,8.488,11.918,0,0,103503,บางมด,1035,จอมทอง,10,กรุงเทพมหาน,14859.47723,8487761.884
128,31.17,28.698,27315.89911,2,104802,ศาลาธรรมสพน,1048,ทวีวัฒนา,10,กรุงเทพมหาน,27411.29997,31169810.35
129,19.487,18.789,19499.85396,3,102302,หนองแขม,1023,หนองแขม,10,กรุงเทพมหาน,19465.21859,19486772.25
130,34.004,34.745,31218.59751,1,105002,บางบอนเหนือ,1050,บางบอน,10,กรุงเทพมหาน,19521.78218,15017385.98
